experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value
B,before,linear_svc,2,42,137,160,0.008984334000160743,0.004110795000087819,f1_macro,0.7214749169172336
B,before,random_forest,2,42,137,160,0.14224407800020344,0.011382607000086864,accuracy,0.7375
B,before,random_forest,2,42,137,160,0.14224407800020344,0.011382607000086864,f1_macro,0.736842105263158
B,before,knn,2,42,137,160,0.00620193599979757,0.0056288370001311705,accuracy,0.775
B,before,knn,2,42,137,160,0.00620193599979757,0.0056288370001311705,f1_macro,0.7732640529050543
B,after,logistic_regression,2,42,640,160,0.014025748000221938,0.005247073000191449,accuracy,0.75625
B,after,logistic_regression,2,42,640,160,0.014025748000221938,0.005247073000191449,f1_macro,0.7546301757697298
B,after,linear_svc,2,42,640,160,0.013654642999881617,0.005008554000141885,accuracy,0.75625
B,after,linear_svc,2,42,640,160,0.013654642999881617,0.005008554000141885,f1_macro,0.7546301757697298
B,after,random_forest,2,42,640,160,0.16784424499974193,0.011340219999965484,accuracy,0.81875
B,after,random_forest,2,42,640,160,0.16784424499974193,0.011340219999965484,f1_macro,0.818572825024438
B,after,knn,2,42,640,160,0.010095902000102797,0.006265776999953232,accuracy,0.8125
B,after,knn,2,42,640,160,0.010095902000102797,0.006265776999953232,f1_macro,0.8124706985466479
B,before,logistic_regression,3,42,116,160,0.008838126999762608,0.0039025699998092023,accuracy,0.75625
B,before,logistic_regression,3,42,116,160,0.008838126999762608,0.0039025699998092023,f1_macro,0.7550924290592252
B,before,linear_svc,3,42,116,160,0.00943804199960141,0.003927727999780473,accuracy,0.7625
B,before,linear_svc,3,42,116,160,0.00943804199960141,0.003927727999780473,f1_macro,0.7615686274509804
B,before,random_forest,3,42,116,160,0.12882953300004374,0.010780634999719041,accuracy,0.80625
B,before,random_forest,3,42,116,160,0.12882953300004374,0.010780634999719041,f1_macro,0.8056350170461224
B,before,knn,3,42,116,160,0.005856846999904519,0.005096333999972558,accuracy,0.775
B,before,knn,3,42,116,160,0.005856846999904519,0.005096333999972558,f1_macro,0.775
B,after,logistic_regression,3,42,640,160,0.026584537999951863,0.00623308799958977,accuracy,0.8
B,after,logistic_regression,3,42,640,160,0.026584537999951863,0.00623308799958977,f1_macro,0.8
B,after,linear_svc,3,42,640,160,0.014034999000159587,0.005164581999906659,accuracy,0.80625
B,after,linear_svc,3,42,640,160,0.014034999000159587,0.005164581999906659,f1_macro,0.8062424313449744
B,after,random_forest,3,42,640,160,0.1857364930001495,0.011468911000065418,accuracy,0.81875
B,after,random_forest,3,42,640,160,0.1857364930001495,0.011468911000065418,f1_macro,0.8186862568871869
B,after,knn,3,42,640,160,0.010342613000375422,0.00634776500010048,accuracy,0.8
B,after,knn,3,42,640,160,0.010342613000375422,0.00634776500010048,f1_macro,0.7997183539352215
B,before,logistic_regression,4,42,130,160,0.02975245800007542,0.004409885999848484,accuracy,0.74375
B,before,logistic_regression,4,42,130,160,0.02975245800007542,0.004409885999848484,f1_macro,0.7408241476038087
