model,feature,mean_diff,std_diff,n_pairs
logistic_regression,mean compactness,-0.002625368731563417,0.010108971091586424,150
logistic_regression,mean concave points,0.008789007918025156,0.011282628431707705,150
logistic_regression,mean concavity,0.007089478859390362,0.01121912699405155,150
logistic_regression,mean fractal dimension,-0.002221187186254719,0.006908439418139003,150
logistic_regression,mean perimeter,-0.26738912177198154,0.09714267196052061,150
logistic_regression,mean radius,-0.029924959892356242,0.026494018477440713,150
logistic_regression,mean smoothness,0.0008187134502923987,0.004353069464871643,150
logistic_regression,mean symmetry,-0.0007017543859649137,0.004253868527358748,150
logistic_regression,mean texture,-0.0050230295502768614,0.016596708571000866,150
logistic_regression,perimeter error,-0.0009346374786523803,0.012416741401708557,150
logistic_regression,radius error,0.01452465973192569,0.014267929332933303,150
logistic_regression,smoothness error,0.0006432748538011723,0.005934347504779608,150
logistic_regression,symmetry error,-0.004912280701754386,0.008286335585762458,150
logistic_regression,texture error,-0.008536976659938926,0.01057024185469774,150
logistic_regression,worst area,-0.2700828028774,0.07977095065774228,150
logistic_regression,worst compactness,-0.001518915282306065,0.005058823678814795,150
logistic_regression,worst concave points,0.0063866894374579545,0.012027557544975205,150
logistic_regression,worst concavity,0.0028836102054546355,0.013054094705264578,150
logistic_regression,worst fractal dimension,-0.0010515965429798706,0.010460363874887958,150
logistic_regression,worst perimeter,-0.1672954510169228,0.06428783966818932,150
logistic_regression,worst radius,0.0016063758215598045,0.01790765616505611,150
logistic_regression,worst smoothness,0.006911970190964139,0.01247668809557482,150
logistic_regression,worst symmetry,0.008846969932205151,0.009776943481038271,150
logistic_regression,worst texture,-0.05225689592713345,0.029667290086312227,150
random_forest,area error,0.0,0.0,150
random_forest,compactness error,0.0,0.0,150
random_forest,concave points error,0.0,0.0,150
random_forest,concavity error,0.0,0.0,150
random_forest,fractal dimension error,0.0,0.0,150
random_forest,mean area,0.0,0.0,150
random_forest,mean compactness,0.0,0.0,150
random_forest,mean concave points,0.0005847953216374288,0.0021954340862588083,150
random_forest,mean concavity,0.0,0.0,150
random_forest,mean fractal dimension,0.0,0.0,150
random_forest,mean perimeter,0.0,0.0,150
random_forest,mean radius,0.0,0.0,150
random_forest,mean smoothness,0.0,0.0,150
random_forest,mean symmetry,0.0,0.0,150
random_forest,mean texture,0.0,0.0,150
random_forest,perimeter error,0.0,0.0,150
random_forest,radius error,0.0,0.0,150
random_forest,smoothness error,0.0,0.0,150
random_forest,symmetry error,0.0,0.0,150
random_forest,texture error,0.0,0.0,150
random_forest,worst area,0.0,0.0,150
random_forest,worst compactness,0.0,0.0,150
random_forest,worst concave points,0.0,0.0,150
random_forest,worst concavity,0.0,0.0,150
random_forest,worst fractal dimension,0.0,0.0,150
random_forest,worst perimeter,0.0,0.0,150
random_forest,worst radius,0.0,0.0,150
random_forest,worst smoothness,0.0,0.0,150
random_forest,worst symmetry,0.0,0.0,150
random_forest,worst texture,0.0,0.0,150
