condition,model,fold,feature,importance,rank
after,linear_svc,2,worst compactness,0.001461988304093568,22.0
after,linear_svc,2,worst concave points,0.01198830409356724,15.0
after,linear_svc,2,worst concavity,0.053801169590643266,3.0
after,linear_svc,2,worst fractal dimension,-0.005555555555555573,30.0
after,linear_svc,2,worst perimeter,0.021637426900584778,8.0
after,linear_svc,2,worst radius,0.026023391812865487,4.0
after,linear_svc,2,worst smoothness,0.012573099415204661,14.0
after,linear_svc,2,worst symmetry,0.020467836257309923,9.0
after,linear_svc,2,worst texture,0.08976608187134501,1.0
after,linear_svc,3,area error,0.022514619883040893,8.0
after,linear_svc,3,compactness error,-0.0005847953216374657,29.0
after,linear_svc,3,concave points error,0.012865497076023354,12.0
after,linear_svc,3,concavity error,0.008771929824561365,15.0
after,linear_svc,3,fractal dimension error,0.04210526315789469,2.0
after,linear_svc,3,mean area,-0.0002923976608187144,26.0
after,linear_svc,3,mean compactness,0.05321637426900581,1.0
after,linear_svc,3,mean concave points,0.028362573099415166,6.0
after,linear_svc,3,mean concavity,0.03771929824561399,4.0
after,linear_svc,3,mean fractal dimension,0.0029239766081870953,19.0
after,linear_svc,3,mean perimeter,-0.0014619883040935717,30.0
after,linear_svc,3,mean radius,0.0014619883040935275,22.0
after,linear_svc,3,mean smoothness,0.0011695906432748167,23.0
after,linear_svc,3,mean symmetry,-0.0002923976608187144,26.0
after,linear_svc,3,mean texture,-0.0002923976608187144,26.0
after,linear_svc,3,perimeter error,0.00029239766081868846,24.0
after,linear_svc,3,radius error,0.029532163742690017,5.0
after,linear_svc,3,smoothness error,0.00321637426900581,18.0
after,linear_svc,3,symmetry error,0.008187134502923929,16.0
after,linear_svc,3,texture error,0.007017543859649078,17.0
after,linear_svc,3,worst area,0.026900584795321602,7.0
after,linear_svc,3,worst compactness,0.011988304093567196,13.0
after,linear_svc,3,worst concave points,0.0,25.0
after,linear_svc,3,worst concavity,0.002923976608187088,20.0
after,linear_svc,3,worst fractal dimension,0.0207602339181286,9.0
after,linear_svc,3,worst perimeter,0.018713450292397613,11.0
after,linear_svc,3,worst radius,0.019883040935672478,10.0
after,linear_svc,3,worst smoothness,0.0020467836257309635,21.0
after,linear_svc,3,worst symmetry,0.009064327485380072,14.0
after,linear_svc,3,worst texture,0.039766081871344984,3.0
after,linear_svc,4,area error,0.03421828908554569,4.0
after,linear_svc,4,compactness error,0.0,17.0
after,linear_svc,4,concave points error,0.019174041297935106,9.0
after,linear_svc,4,concavity error,0.001474926253687318,16.0
after,linear_svc,4,fractal dimension error,0.028318584070796425,6.0
after,linear_svc,4,mean area,-0.004719764011799418,28.0
after,linear_svc,4,mean compactness,0.00766961651917405,12.0
after,linear_svc,4,mean concave points,0.030088495575221214,5.0
after,linear_svc,4,mean concavity,0.0038348082595870267,14.0
after,linear_svc,4,mean fractal dimension,-0.002949852507374636,25.0
after,linear_svc,4,mean perimeter,-0.005309734513274345,29.0
after,linear_svc,4,mean radius,-0.005309734513274345,29.0
after,linear_svc,4,mean smoothness,-0.0005899705014749272,21.0
after,linear_svc,4,mean symmetry,-0.0008849557522123908,22.0
after,linear_svc,4,mean texture,-0.001474926253687318,23.0
after,linear_svc,4,perimeter error,0.0026548672566371724,15.0
after,linear_svc,4,radius error,0.014749262536873146,11.0
after,linear_svc,4,smoothness error,-0.0032448377581120996,26.0
after,linear_svc,4,symmetry error,0.0,17.0
after,linear_svc,4,texture error,-0.0002949852507374636,19.0
after,linear_svc,4,worst area,0.05575221238938051,1.0
after,linear_svc,4,worst compactness,-0.002064896755162245,24.0
after,linear_svc,4,worst concave points,-0.0032448377581120996,26.0
after,linear_svc,4,worst concavity,0.02448377581120941,7.0
after,linear_svc,4,worst fractal dimension,0.020353982300884955,8.0
after,linear_svc,4,worst perimeter,0.016224188790560465,10.0
after,linear_svc,4,worst radius,0.03628318584070792,2.0
after,linear_svc,4,worst smoothness,-0.0002949852507374636,19.0
after,linear_svc,4,worst symmetry,0.005014749262536881,13.0
after,linear_svc,4,worst texture,0.03451327433628315,3.0
after,logistic_regression,0,area error,0.004093567251462012,11.0
after,logistic_regression,0,compactness error,-0.00321637426900581,27.0
after,logistic_regression,0,concave points error,0.0008771929824561653,20.0
after,logistic_regression,0,concavity error,-0.004678362573099363,29.0
after,logistic_regression,0,fractal dimension error,-0.00029239766081868846,22.0
after,logistic_regression,0,mean area,-0.00029239766081869584,23.0
after,logistic_regression,0,mean compactness,0.0014619883040936051,17.0
after,logistic_regression,0,mean concave points,0.01520467836257314,2.0
after,logistic_regression,0,mean concavity,0.006725146198830438,8.0
after,logistic_regression,0,mean fractal dimension,0.0005847953216374547,21.0
after,logistic_regression,0,mean perimeter,-0.00029239766081869584,23.0
after,logistic_regression,0,mean radius,-0.00029239766081869584,23.0
after,logistic_regression,0,mean smoothness,0.0017543859649122972,16.0
after,logistic_regression,0,mean symmetry,0.0023391812865497185,15.0
after,logistic_regression,0,mean texture,-0.0067251461988303484,30.0
after,logistic_regression,0,perimeter error,0.002339181286549737,14.0
after,logistic_regression,0,radius error,0.02046783625730999,1.0
after,logistic_regression,0,smoothness error,-0.001754385964912249,26.0
after,logistic_regression,0,symmetry error,-0.004385964912280656,28.0
after,logistic_regression,0,texture error,0.0029239766081871474,13.0
after,logistic_regression,0,worst area,0.005847953216374298,10.0
after,logistic_regression,0,worst compactness,0.0014619883040935717,18.0
after,logistic_regression,0,worst concave points,0.01111111111111115,4.0
after,logistic_regression,0,worst concavity,0.010526315789473717,5.0
after,logistic_regression,0,worst fractal dimension,0.009941520467836291,6.0
after,logistic_regression,0,worst perimeter,0.003801169590643298,12.0
after,logistic_regression,0,worst radius,0.006432748538011727,9.0
after,logistic_regression,0,worst smoothness,0.009941520467836284,7.0
after,logistic_regression,0,worst symmetry,0.013742690058479572,3.0
after,logistic_regression,0,worst texture,0.0011695906432749017,19.0
