condition,model,feature,pi_mean,pi_std,n_observations,top10_fold_count
after,logistic_regression,mean concavity,0.007498835584536561,0.011341784085556472,150,4
after,logistic_regression,mean fractal dimension,-0.002221187186254719,0.006908439418139003,150,0
after,logistic_regression,mean perimeter,0.000760751436112408,0.006659969567341793,150,0
after,logistic_regression,mean radius,0.0008202660042436498,0.006769645066705368,150,0
after,logistic_regression,mean smoothness,0.0008187134502923987,0.004353069464871643,150,1
after,logistic_regression,mean symmetry,-0.0006432748538011708,0.004202161451667465,150,0
after,logistic_regression,mean texture,-0.0015748072245510476,0.008751526747087669,150,0
after,logistic_regression,perimeter error,0.004274181027790715,0.009791137506603535,150,2
after,logistic_regression,radius error,0.014758577860580662,0.01420711675751026,150,5
after,logistic_regression,smoothness error,0.0006432748538011723,0.005934347504779608,150,1
after,logistic_regression,symmetry error,-0.004912280701754386,0.008286335585762458,150,0
after,logistic_regression,texture error,-0.0007017543859649115,0.007005759562737227,150,0
after,logistic_regression,worst area,0.007511773534130312,0.012739318126925261,150,4
after,logistic_regression,worst compactness,0.0,0.0024893882623179134,150,1
after,logistic_regression,worst concave points,0.006796046162604155,0.012080685261051305,150,2
after,logistic_regression,worst concavity,0.008322206696682715,0.01273765410112242,150,3
after,logistic_regression,worst fractal dimension,-0.0010515965429798706,0.010460363874887958,150,1
after,logistic_regression,worst perimeter,0.005399265124463076,0.011508513083751315,150,2
after,logistic_regression,worst radius,0.008918387413962635,0.012478579883069323,150,4
after,logistic_regression,worst smoothness,0.006911970190964139,0.01247668809557482,150,2
after,logistic_regression,worst symmetry,0.009197847125187609,0.009820616677554756,150,5
after,logistic_regression,worst texture,0.017177974434611606,0.02075934857234731,150,3
after,random_forest,area error,-0.001225482585519846,0.005665809015013615,150,1
after,random_forest,compactness error,0.0012280701754386026,0.004068963306680542,150,2
after,random_forest,concave points error,0.0007017543859649145,0.0023877373404377848,150,1
after,random_forest,concavity error,0.0009941520467836302,0.0037391499309795077,150,1
after,random_forest,fractal dimension error,0.0005263157894736873,0.0025366528446336286,150,2
after,random_forest,mean area,0.0011695906432748514,0.004730565533708543,150,3
after,random_forest,mean compactness,0.0,0.0,150,1
after,random_forest,mean concave points,-0.0006236091704186811,0.01192449245714632,150,2
after,random_forest,mean concavity,-0.0011654504994048542,0.006953842880973227,150,1
after,random_forest,mean fractal dimension,4.440892098500626e-18,0.0024893882623178982,150,1
after,random_forest,mean perimeter,-0.0009356725146198822,0.005486703092296575,150,2
after,random_forest,mean radius,0.00017543859649121974,0.0054226396573150894,150,1
after,random_forest,mean smoothness,0.0018760026910935243,0.004269579411598473,150,3
after,random_forest,mean symmetry,0.001345029239766086,0.003626977853567428,150,1
after,random_forest,mean texture,0.002458210422812202,0.005938607681092918,150,3
after,random_forest,perimeter error,-0.00017543859649122564,0.003865905892771503,150,1
after,random_forest,radius error,0.00017543859649122714,0.003127461713801389,150,1
after,random_forest,smoothness error,0.0009356725146198897,0.003955264636114245,150,1
after,random_forest,symmetry error,0.0015789473684210576,0.003812098037003735,150,2
after,random_forest,texture error,0.00023391812865497446,0.0026785838267491557,150,0
after,random_forest,worst area,0.011602235677689797,0.012184654946752341,150,5
after,random_forest,worst compactness,0.001520467836257311,0.005255957501235204,150,2
after,random_forest,worst concave points,0.006518656523314178,0.012539074100136835,150,3
after,random_forest,worst concavity,0.0007731718677223968,0.009278490089906518,150,3
after,random_forest,worst fractal dimension,0.0006432748538011739,0.0028918125777841618,150,1
after,random_forest,worst perimeter,0.0002923976608187136,0.0074969217850929535,150,1
after,random_forest,worst radius,0.003216374269005846,0.008093171018374111,150,2
after,random_forest,worst smoothness,0.002464420638617193,0.0059452883115449755,150,3
after,random_forest,worst symmetry,0.0019883040935672605,0.004446963865613634,150,2
after,random_forest,worst texture,0.007620452310717798,0.008309439476402952,150,4
before,knn,area error,0.005564353361279319,0.007296323590174309,150,5
before,knn,compactness error,0.0,0.0,150,5
before,knn,concave points error,0.0,0.0,150,5
before,knn,concavity error,0.0,0.0,150,5
