experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value
D,after,logistic_regression,1,42,5889,1472,8.459738176999963,0.35512110400031816,f1_macro,0.9067853721111006
D,after,logistic_regression,1,42,5889,1472,8.459738176999963,0.35512110400031816,f1_weighted,0.9128934354328966
D,after,logistic_regression,2,42,5889,1472,7.062468406999869,0.42602148599962675,accuracy,0.923233695652174
D,after,logistic_regression,2,42,5889,1472,7.062468406999869,0.42602148599962675,f1_macro,0.9174615638433795
D,after,logistic_regression,2,42,5889,1472,7.062468406999869,0.42602148599962675,f1_weighted,0.9226025336318086
D,after,logistic_regression,3,42,5889,1472,8.485756463000143,0.3217385010002545,accuracy,0.9103260869565217
D,after,logistic_regression,3,42,5889,1472,8.485756463000143,0.3217385010002545,f1_macro,0.903817973969639
D,after,logistic_regression,3,42,5889,1472,8.485756463000143,0.3217385010002545,f1_weighted,0.9091542404107891
D,after,logistic_regression,4,42,5889,1472,7.862528677999762,0.37097168899981625,accuracy,0.9177989130434783
D,after,logistic_regression,4,42,5889,1472,7.862528677999762,0.37097168899981625,f1_macro,0.9123322703540011
D,after,logistic_regression,4,42,5889,1472,7.862528677999762,0.37097168899981625,f1_weighted,0.9169729659801856
D,after,linear_svc,0,42,5888,1473,1.8912926749999315,0.2938044410002476,accuracy,0.9368635437881874
D,after,linear_svc,0,42,5888,1473,1.8912926749999315,0.2938044410002476,f1_macro,0.9323800704155545
D,after,linear_svc,0,42,5888,1473,1.8912926749999315,0.2938044410002476,f1_weighted,0.9362876690291356
D,after,linear_svc,1,42,5889,1472,1.6741941709997263,0.2638352189997022,accuracy,0.9490489130434783
D,after,linear_svc,1,42,5889,1472,1.6741941709997263,0.2638352189997022,f1_macro,0.945767376390147
D,after,linear_svc,1,42,5889,1472,1.6741941709997263,0.2638352189997022,f1_weighted,0.9488676959886663
D,after,linear_svc,2,42,5889,1472,1.5706417490000604,0.26354764600000635,accuracy,0.9476902173913043
D,after,linear_svc,2,42,5889,1472,1.5706417490000604,0.26354764600000635,f1_macro,0.9446538558729848
D,after,linear_svc,2,42,5889,1472,1.5706417490000604,0.26354764600000635,f1_weighted,0.9474799490010009
D,after,linear_svc,3,42,5889,1472,1.5935037799999918,0.2687906139999541,accuracy,0.9368206521739131
D,after,linear_svc,3,42,5889,1472,1.5935037799999918,0.2687906139999541,f1_macro,0.93212260714508
D,after,linear_svc,3,42,5889,1472,1.5935037799999918,0.2687906139999541,f1_weighted,0.9362660192662031
D,after,linear_svc,4,42,5889,1472,1.590247107000323,0.2894014200001038,accuracy,0.9456521739130435
D,after,linear_svc,4,42,5889,1472,1.590247107000323,0.2894014200001038,f1_macro,0.9414318743634511
D,after,linear_svc,4,42,5889,1472,1.590247107000323,0.2894014200001038,f1_weighted,0.9453003781589991
D,after,random_forest,0,42,5888,1473,9.097734756999671,0.38863790100003826,accuracy,0.8906992532247114
D,after,random_forest,0,42,5888,1473,9.097734756999671,0.38863790100003826,f1_macro,0.8692029826459495
D,after,random_forest,0,42,5888,1473,9.097734756999671,0.38863790100003826,f1_weighted,0.8838483670530255
D,after,random_forest,1,42,5889,1472,9.371945380000398,0.3762751799995385,accuracy,0.9082880434782609
D,after,random_forest,1,42,5889,1472,9.371945380000398,0.3762751799995385,f1_macro,0.8892106213800184
D,after,random_forest,1,42,5889,1472,9.371945380000398,0.3762751799995385,f1_weighted,0.9025550023744663
D,after,random_forest,2,42,5889,1472,9.406800480000129,0.39325129999997444,accuracy,0.9103260869565217
D,after,random_forest,2,42,5889,1472,9.406800480000129,0.39325129999997444,f1_macro,0.8938755565101957
D,after,random_forest,2,42,5889,1472,9.406800480000129,0.39325129999997444,f1_weighted,0.9058916289656149
D,after,random_forest,3,42,5889,1472,8.827000893000331,0.36631375800061505,accuracy,0.8940217391304348
D,after,random_forest,3,42,5889,1472,8.827000893000331,0.36631375800061505,f1_macro,0.8738927316125875
D,after,random_forest,3,42,5889,1472,8.827000893000331,0.36631375800061505,f1_weighted,0.887546781995861
D,after,random_forest,4,42,5889,1472,8.860049656999763,0.3943701569996847,accuracy,0.9123641304347826
D,after,random_forest,4,42,5889,1472,8.860049656999763,0.3943701569996847,f1_macro,0.8986223951400807
D,after,random_forest,4,42,5889,1472,8.860049656999763,0.3943701569996847,f1_weighted,0.9086921242115606
D,after,knn,0,42,5888,1473,1.2140029490001325,0.6809913360002611,accuracy,0.7888662593346911
D,after,knn,0,42,5888,1473,1.2140029490001325,0.6809913360002611,f1_macro,0.7818991269379312
D,after,knn,0,42,5888,1473,1.2140029490001325,0.6809913360002611,f1_weighted,0.786596865835394
D,after,knn,1,42,5889,1472,1.1249083210004756,0.6865034900001774,accuracy,0.7995923913043478
D,after,knn,1,42,5889,1472,1.1249083210004756,0.6865034900001774,f1_macro,0.790357254171366
D,after,knn,1,42,5889,1472,1.1249083210004756,0.6865034900001774,f1_weighted,0.7970884387936066
D,after,knn,2,42,5889,1472,1.0670470770000975,0.6793817930001751,accuracy,0.7941576086956522
D,after,knn,2,42,5889,1472,1.0670470770000975,0.6793817930001751,f1_macro,0.7876509150576679
D,after,knn,2,42,5889,1472,1.0670470770000975,0.6793817930001751,f1_weighted,0.7915257895571571
D,after,knn,3,42,5889,1472,1.0838694559997748,0.6843412099997295,accuracy,0.7989130434782609
D,after,knn,3,42,5889,1472,1.0838694559997748,0.6843412099997295,f1_macro,0.7909487078860992
D,after,knn,3,42,5889,1472,1.0838694559997748,0.6843412099997295,f1_weighted,0.7954358498932514
D,after,knn,4,42,5889,1472,1.1198088520004603,0.6950896509997619,accuracy,0.8009510869565217
D,after,knn,4,42,5889,1472,1.1198088520004603,0.6950896509997619,f1_macro,0.7947681457247824
D,after,knn,4,42,5889,1472,1.1198088520004603,0.6950896509997619,f1_weighted,0.7984315380511537
