model,outer_fold,metric,default_0.5,inner_cv_tuned,tuned_minus_default
linear_svc,4,roc_auc,0.9043243243243244,0.9043243243243244,0.0
logistic_regression,0,accuracy,0.9375,0.9275,-0.010000000000000009
logistic_regression,0,average_precision,0.5330661180316898,0.5330661180316898,0.0
logistic_regression,0,balanced_accuracy,0.6484338693187099,0.7225113858165257,0.0740775164978158
logistic_regression,0,f1,0.4186046511627907,0.49122807017543857,0.07262341901264785
logistic_regression,0,mcc,0.4188816039777639,0.4522907463329521,0.03340914235518816
logistic_regression,0,precision,0.6428571428571429,0.5,-0.1428571428571429
logistic_regression,0,recall,0.3103448275862069,0.4827586206896552,0.1724137931034483
logistic_regression,0,roc_auc,0.861790129194163,0.861790129194163,0.0
logistic_regression,1,accuracy,0.9625,0.955,-0.007500000000000062
logistic_regression,1,average_precision,0.8056382385022094,0.8056382385022094,0.0
logistic_regression,1,balanced_accuracy,0.7572729807602937,0.8326982061529882,0.07542522539269447
logistic_regression,1,f1,0.6666666666666666,0.6896551724137931,0.02298850574712652
logistic_regression,1,mcc,0.680901865723037,0.6653964123059763,-0.015505453417060666
logistic_regression,1,precision,0.9375,0.6896551724137931,-0.24784482758620685
logistic_regression,1,recall,0.5172413793103449,0.6896551724137931,0.1724137931034483
logistic_regression,1,roc_auc,0.9345664095176132,0.9345664095176132,0.0
logistic_regression,2,accuracy,0.9475,0.94,-0.007500000000000062
logistic_regression,2,average_precision,0.6545904278690216,0.6545904278690216,0.0
logistic_regression,2,balanced_accuracy,0.7112612612612612,0.7531531531531532,0.04189189189189202
logistic_regression,2,f1,0.5531914893617021,0.5714285714285714,0.018237082066869248
logistic_regression,2,mcc,0.5516803376936621,0.5409440535684419,-0.010736284125220208
logistic_regression,2,precision,0.7647058823529411,0.6153846153846154,-0.1493212669683257
logistic_regression,2,recall,0.43333333333333335,0.5333333333333333,0.09999999999999998
logistic_regression,2,roc_auc,0.8904504504504505,0.8904504504504505,0.0
logistic_regression,3,accuracy,0.9475,0.9475,0.0
logistic_regression,3,average_precision,0.6168545939443565,0.6168545939443565,0.0
logistic_regression,3,balanced_accuracy,0.65,0.7265765765765766,0.07657657657657657
logistic_regression,3,f1,0.46153846153846156,0.5714285714285714,0.10989010989010983
logistic_regression,3,mcc,0.5328109120792203,0.5611348052832623,0.02832389320404205
logistic_regression,3,precision,1.0,0.7368421052631579,-0.26315789473684215
logistic_regression,3,recall,0.3,0.4666666666666667,0.16666666666666669
logistic_regression,3,roc_auc,0.8900900900900901,0.8900900900900901,0.0
logistic_regression,4,accuracy,0.945,0.9425,-0.0024999999999999467
logistic_regression,4,average_precision,0.6254030378745074,0.6254030378745074,0.0
logistic_regression,4,balanced_accuracy,0.6945945945945946,0.7238738738738739,0.029279279279279313
logistic_regression,4,f1,0.5217391304347826,0.5490196078431373,0.02728047740835471
logistic_regression,4,mcc,0.5231143743471868,0.5287685872952392,0.005654212948052462
logistic_regression,4,precision,0.75,0.6666666666666666,-0.08333333333333337
logistic_regression,4,recall,0.4,0.4666666666666667,0.06666666666666665
logistic_regression,4,roc_auc,0.9057657657657658,0.9057657657657658,0.0
