experiment,condition,model,outer_fold,threshold_mode,threshold,seed,metric,value
C_threshold,c0,linear_svc,3,default_0.5,0.5,42,average_precision,0.6304055741216401
C_threshold,c0,linear_svc,3,default_0.5,0.5,42,roc_auc,0.8914414414414414
C_threshold,c0,linear_svc,3,inner_cv_tuned,0.26,42,accuracy,0.9375
C_threshold,c0,linear_svc,3,inner_cv_tuned,0.26,42,precision,0.6
C_threshold,c0,linear_svc,3,inner_cv_tuned,0.26,42,recall,0.5
C_threshold,c0,linear_svc,3,inner_cv_tuned,0.26,42,f1,0.5454545454545454
C_threshold,c0,linear_svc,3,inner_cv_tuned,0.26,42,balanced_accuracy,0.7364864864864865
C_threshold,c0,linear_svc,3,inner_cv_tuned,0.26,42,mcc,0.5146502354656655
C_threshold,c0,linear_svc,3,inner_cv_tuned,0.26,42,average_precision,0.6304055741216401
C_threshold,c0,linear_svc,3,inner_cv_tuned,0.26,42,roc_auc,0.8914414414414414
C_threshold,c0,logistic_regression,4,default_0.5,0.5,42,accuracy,0.945
C_threshold,c0,logistic_regression,4,default_0.5,0.5,42,precision,0.75
C_threshold,c0,logistic_regression,4,default_0.5,0.5,42,recall,0.4
C_threshold,c0,logistic_regression,4,default_0.5,0.5,42,f1,0.5217391304347826
C_threshold,c0,logistic_regression,4,default_0.5,0.5,42,balanced_accuracy,0.6945945945945946
C_threshold,c0,logistic_regression,4,default_0.5,0.5,42,mcc,0.5231143743471868
C_threshold,c0,logistic_regression,4,default_0.5,0.5,42,average_precision,0.6254030378745074
C_threshold,c0,logistic_regression,4,default_0.5,0.5,42,roc_auc,0.9057657657657658
C_threshold,c0,logistic_regression,4,inner_cv_tuned,0.35,42,accuracy,0.9425
C_threshold,c0,logistic_regression,4,inner_cv_tuned,0.35,42,precision,0.6666666666666666
C_threshold,c0,logistic_regression,4,inner_cv_tuned,0.35,42,recall,0.4666666666666667
C_threshold,c0,logistic_regression,4,inner_cv_tuned,0.35,42,f1,0.5490196078431373
C_threshold,c0,logistic_regression,4,inner_cv_tuned,0.35,42,balanced_accuracy,0.7238738738738739
C_threshold,c0,logistic_regression,4,inner_cv_tuned,0.35,42,mcc,0.5287685872952392
C_threshold,c0,logistic_regression,4,inner_cv_tuned,0.35,42,average_precision,0.6254030378745074
C_threshold,c0,logistic_regression,4,inner_cv_tuned,0.35,42,roc_auc,0.9057657657657658
C_threshold,c0,linear_svc,4,default_0.5,0.5,42,accuracy,0.945
C_threshold,c0,linear_svc,4,default_0.5,0.5,42,precision,0.75
C_threshold,c0,linear_svc,4,default_0.5,0.5,42,recall,0.4
C_threshold,c0,linear_svc,4,default_0.5,0.5,42,f1,0.5217391304347826
C_threshold,c0,linear_svc,4,default_0.5,0.5,42,balanced_accuracy,0.6945945945945946
C_threshold,c0,linear_svc,4,default_0.5,0.5,42,mcc,0.5231143743471868
C_threshold,c0,linear_svc,4,default_0.5,0.5,42,average_precision,0.6341297790826427
C_threshold,c0,linear_svc,4,default_0.5,0.5,42,roc_auc,0.9043243243243244
C_threshold,c0,linear_svc,4,inner_cv_tuned,0.3,42,accuracy,0.9425
C_threshold,c0,linear_svc,4,inner_cv_tuned,0.3,42,precision,0.6521739130434783
C_threshold,c0,linear_svc,4,inner_cv_tuned,0.3,42,recall,0.5
C_threshold,c0,linear_svc,4,inner_cv_tuned,0.3,42,f1,0.5660377358490566
C_threshold,c0,linear_svc,4,inner_cv_tuned,0.3,42,balanced_accuracy,0.7391891891891892
C_threshold,c0,linear_svc,4,inner_cv_tuned,0.3,42,mcc,0.5412506595474248
C_threshold,c0,linear_svc,4,inner_cv_tuned,0.3,42,average_precision,0.6341297790826427
C_threshold,c0,linear_svc,4,inner_cv_tuned,0.3,42,roc_auc,0.9043243243243244
