model,outer_fold,threshold,inner_f1,inner_precision,inner_recall,inner_balanced_accuracy
linear_svc,0,0.9,0.15503875968992248,1.0,0.08403361344537816,0.542016806722689
linear_svc,0,0.91,0.140625,1.0,0.07563025210084033,0.5378151260504201
linear_svc,0,0.92,0.12598425196850394,1.0,0.06722689075630252,0.5336134453781513
linear_svc,0,0.93,0.08064516129032258,1.0,0.04201680672268908,0.5210084033613446
linear_svc,0,0.94,0.06504065040650407,1.0,0.03361344537815126,0.5168067226890757
linear_svc,0,0.95,0.06504065040650407,1.0,0.03361344537815126,0.5168067226890757
logistic_regression,1,0.05,0.3289036544850498,0.20496894409937888,0.8319327731092437,0.7863242528611716
logistic_regression,1,0.06,0.3559633027522936,0.22769953051643194,0.8151260504201681,0.7964894262904352
logistic_regression,1,0.07,0.3784860557768924,0.24804177545691905,0.7983193277310925,0.8019280635954584
logistic_regression,1,0.08,0.39651416122004357,0.2676470588235294,0.7647058823529411,0.7982881201096239
logistic_regression,1,0.09,0.4158878504672897,0.28802588996763756,0.7478991596638656,0.7996754407367268
logistic_regression,1,0.1,0.4405940594059406,0.312280701754386,0.7478991596638656,0.8077780740925675
logistic_regression,1,0.11,0.4583333333333333,0.3320754716981132,0.7394957983193278,0.8099909781603392
logistic_regression,1,0.12,0.47619047619047616,0.35714285714285715,0.7142857142857143,0.805488569499373
logistic_regression,1,0.13,0.48695652173913045,0.37168141592920356,0.7058823529411765,0.8050005957818644
logistic_regression,1,0.14,0.49700598802395207,0.386046511627907,0.6974789915966386,0.8041750123411957
logistic_regression,1,0.15,0.5203761755485894,0.415,0.6974789915966386,0.8092391581885962
logistic_regression,1,0.16,0.5159235668789809,0.4153846153846154,0.680672268907563,0.8018486260135385
logistic_regression,1,0.17,0.5231788079470199,0.43169398907103823,0.6638655462184874,0.7968213619006008
logistic_regression,1,0.18,0.5220338983050847,0.4375,0.6470588235294118,0.7901060491718632
logistic_regression,1,0.19,0.5310344827586206,0.4502923976608187,0.6470588235294118,0.7917940977876634
logistic_regression,1,0.2,0.5371024734982333,0.4634146341463415,0.6386554621848739,0.7896180754543546
logistic_regression,1,0.21,0.5415162454873647,0.47468354430379744,0.6302521008403361,0.7871044433978858
logistic_regression,1,0.22,0.5535055350553506,0.4934210526315789,0.6302521008403361,0.789130101736846
logistic_regression,1,0.23,0.5363984674329502,0.49295774647887325,0.5882352941176471,0.7698097469913017
logistic_regression,1,0.24,0.5447470817120622,0.5072463768115942,0.5882352941176471,0.7711601858839416
logistic_regression,1,0.25,0.549800796812749,0.5227272727272727,0.5798319327731093,0.7686465538274729
logistic_regression,1,0.26,0.5596707818930041,0.5483870967741935,0.5714285714285714,0.7668081412173242
logistic_regression,1,0.27,0.5462184873949579,0.5462184873949579,0.5462184873949579,0.7548783186468375
logistic_regression,1,0.28,0.5446808510638298,0.5517241379310345,0.5378151260504201,0.7513518574208886
logistic_regression,1,0.29,0.5502183406113537,0.5727272727272728,0.5294117647058824,0.7488382253644199
logistic_regression,1,0.3,0.5422222222222223,0.5754716981132075,0.5126050420168067,0.7411100834662021
logistic_regression,1,0.31,0.5272727272727272,0.5742574257425742,0.48739495798319327,0.7291802608957155
logistic_regression,1,0.32,0.5253456221198156,0.5816326530612245,0.4789915966386555,0.7256537996697666
logistic_regression,1,0.33,0.5352112676056338,0.6063829787234043,0.4789915966386555,0.7270042385624067
logistic_regression,1,0.34,0.5333333333333333,0.6153846153846154,0.47058823529411764,0.7234777773364578
logistic_regression,1,0.35,0.5410628019323671,0.6363636363636364,0.47058823529411764,0.724490606505938
logistic_regression,1,0.36,0.5544554455445545,0.6746987951807228,0.47058823529411764,0.7261786551217381
logistic_regression,1,0.37,0.54,0.6666666666666666,0.453781512605042,0.7177752937772003
logistic_regression,1,0.38,0.5279187817258884,0.6666666666666666,0.4369747899159664,0.7097095421558225
logistic_regression,1,0.39,0.5,0.6575342465753424,0.40336134453781514,0.6932404291899069
logistic_regression,1,0.4,0.5081081081081081,0.7121212121212122,0.3949579831932773,0.6910644068565981
logistic_regression,1,0.41,0.5081081081081081,0.7121212121212122,0.3949579831932773,0.6910644068565981
logistic_regression,1,0.42,0.5081081081081081,0.7121212121212122,0.3949579831932773,0.6910644068565981
logistic_regression,1,0.43,0.5081081081081081,0.7121212121212122,0.3949579831932773,0.6910644068565981
logistic_regression,1,0.44,0.5081081081081081,0.7121212121212122,0.3949579831932773,0.6910644068565981
logistic_regression,1,0.45,0.5,0.7076923076923077,0.3865546218487395,0.6868627261843292
logistic_regression,1,0.46,0.4835164835164835,0.6984126984126984,0.3697478991596639,0.6784593648397914
logistic_regression,1,0.47,0.47513812154696133,0.6935483870967742,0.36134453781512604,0.6742576841675225
logistic_regression,1,0.48,0.4692737430167598,0.7,0.35294117647058826,0.6703936132184136
logistic_regression,1,0.49,0.47191011235955055,0.711864406779661,0.35294117647058826,0.6707312229415737
logistic_regression,1,0.5,0.4772727272727273,0.7368421052631579,0.35294117647058826,0.6714064423878937
logistic_regression,1,0.51,0.4772727272727273,0.7368421052631579,0.35294117647058826,0.6714064423878937
logistic_regression,1,0.52,0.47398843930635837,0.7592592592592593,0.3445378151260504,0.6678799811619449
logistic_regression,1,0.53,0.47674418604651164,0.7735849056603774,0.3445378151260504,0.6682175908851049
logistic_regression,1,0.54,0.47674418604651164,0.7735849056603774,0.3445378151260504,0.6682175908851049
logistic_regression,1,0.55,0.47674418604651164,0.7735849056603774,0.3445378151260504,0.6682175908851049
logistic_regression,1,0.56,0.47619047619047616,0.8163265306122449,0.33613445378151263,0.665028739382316
logistic_regression,1,0.57,0.46706586826347307,0.8125,0.3277310924369748,0.6608270587100471
logistic_regression,1,0.58,0.46060606060606063,0.8260869565217391,0.31932773109243695,0.6569629877609382
logistic_regression,1,0.59,0.4539877300613497,0.8409090909090909,0.31092436974789917,0.6530989168118294
