experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value,cleaning,analyzer
D_ablation,D1,logistic_regression,1,42,5889,1472,6.715533177000907,0.33743609100019967,f1_macro,0.9081799317638747,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,1,42,5889,1472,6.715533177000907,0.33743609100019967,f1_weighted,0.9136856770467182,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,2,42,5889,1472,6.951822287999676,0.3158551799988345,accuracy,0.9157608695652174,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,2,42,5889,1472,6.951822287999676,0.3158551799988345,f1_macro,0.9080497582084797,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,2,42,5889,1472,6.951822287999676,0.3158551799988345,f1_weighted,0.9146332662491666,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,3,42,5889,1472,8.350612662999993,0.34781158700025117,accuracy,0.9130434782608695,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,3,42,5889,1472,8.350612662999993,0.34781158700025117,f1_macro,0.907041621094378,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,3,42,5889,1472,8.350612662999993,0.34781158700025117,f1_weighted,0.9120447310611116,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,4,42,5889,1472,8.049166499999046,0.2993367090002721,accuracy,0.9164402173913043,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,4,42,5889,1472,8.049166499999046,0.2993367090002721,f1_macro,0.9113232702513522,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,4,42,5889,1472,8.049166499999046,0.2993367090002721,f1_weighted,0.9156473597229265,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,0,42,5888,1473,1.5751386040010402,0.283660916998997,accuracy,0.9443312966734555,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,0,42,5888,1473,1.5751386040010402,0.283660916998997,f1_macro,0.9413884048056613,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,0,42,5888,1473,1.5751386040010402,0.283660916998997,f1_weighted,0.9438523453504362,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,1,42,5889,1472,1.7389899490008247,0.33045301800120797,accuracy,0.9510869565217391,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,1,42,5889,1472,1.7389899490008247,0.33045301800120797,f1_macro,0.9475810510563447,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,1,42,5889,1472,1.7389899490008247,0.33045301800120797,f1_weighted,0.950826754793318,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,2,42,5889,1472,1.775945937999495,0.3466202709987556,accuracy,0.9497282608695652,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,2,42,5889,1472,1.775945937999495,0.3466202709987556,f1_macro,0.9470011657344456,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,2,42,5889,1472,1.775945937999495,0.3466202709987556,f1_weighted,0.9494538579431892,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,3,42,5889,1472,1.7546605839997937,0.3343411549994926,accuracy,0.9368206521739131,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,3,42,5889,1472,1.7546605839997937,0.3343411549994926,f1_macro,0.9328030046270269,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,3,42,5889,1472,1.7546605839997937,0.3343411549994926,f1_weighted,0.9363398270502123,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,4,42,5889,1472,1.6709317740005645,0.3071796309995989,accuracy,0.9429347826086957,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,4,42,5889,1472,1.6709317740005645,0.3071796309995989,f1_macro,0.9384384030017954,neologdn,mecab_ipadic
D_ablation,D1,linear_svc,4,42,5889,1472,1.6709317740005645,0.3071796309995989,f1_weighted,0.9424622800104506,neologdn,mecab_ipadic
D_ablation,D1,random_forest,0,42,5888,1473,9.848341876000632,0.43513092399916786,accuracy,0.8968092328581126,neologdn,mecab_ipadic
D_ablation,D1,random_forest,0,42,5888,1473,9.848341876000632,0.43513092399916786,f1_macro,0.8768354525139764,neologdn,mecab_ipadic
D_ablation,D1,random_forest,0,42,5888,1473,9.848341876000632,0.43513092399916786,f1_weighted,0.8907498649767817,neologdn,mecab_ipadic
D_ablation,D1,random_forest,1,42,5889,1472,10.104823955000029,0.3949420979988645,accuracy,0.9055706521739131,neologdn,mecab_ipadic
D_ablation,D1,random_forest,1,42,5889,1472,10.104823955000029,0.3949420979988645,f1_macro,0.8879138935610198,neologdn,mecab_ipadic
D_ablation,D1,random_forest,1,42,5889,1472,10.104823955000029,0.3949420979988645,f1_weighted,0.9001720776856416,neologdn,mecab_ipadic
D_ablation,D1,random_forest,2,42,5889,1472,9.765323031999287,0.4022368980004103,accuracy,0.9103260869565217,neologdn,mecab_ipadic
D_ablation,D1,random_forest,2,42,5889,1472,9.765323031999287,0.4022368980004103,f1_macro,0.8917393558699297,neologdn,mecab_ipadic
D_ablation,D1,random_forest,2,42,5889,1472,9.765323031999287,0.4022368980004103,f1_weighted,0.9051766866784321,neologdn,mecab_ipadic
D_ablation,D1,random_forest,3,42,5889,1472,9.793009352999434,0.41685415699976147,accuracy,0.9001358695652174,neologdn,mecab_ipadic
D_ablation,D1,random_forest,3,42,5889,1472,9.793009352999434,0.41685415699976147,f1_macro,0.8818445334993703,neologdn,mecab_ipadic
D_ablation,D1,random_forest,3,42,5889,1472,9.793009352999434,0.41685415699976147,f1_weighted,0.8951113693175191,neologdn,mecab_ipadic
D_ablation,D1,random_forest,4,42,5889,1472,9.97766136500104,0.4251720190004562,accuracy,0.9082880434782609,neologdn,mecab_ipadic
D_ablation,D1,random_forest,4,42,5889,1472,9.97766136500104,0.4251720190004562,f1_macro,0.89111997732395,neologdn,mecab_ipadic
D_ablation,D1,random_forest,4,42,5889,1472,9.97766136500104,0.4251720190004562,f1_weighted,0.9033889195760002,neologdn,mecab_ipadic
D_ablation,D1,knn,0,42,5888,1473,1.160913478999646,0.7375230090001423,accuracy,0.7963340122199593,neologdn,mecab_ipadic
D_ablation,D1,knn,0,42,5888,1473,1.160913478999646,0.7375230090001423,f1_macro,0.7896076587108656,neologdn,mecab_ipadic
D_ablation,D1,knn,0,42,5888,1473,1.160913478999646,0.7375230090001423,f1_weighted,0.7931758485421718,neologdn,mecab_ipadic
D_ablation,D1,knn,1,42,5889,1472,1.2294222130003618,0.7112331810003525,accuracy,0.7880434782608695,neologdn,mecab_ipadic
D_ablation,D1,knn,1,42,5889,1472,1.2294222130003618,0.7112331810003525,f1_macro,0.7768527808585024,neologdn,mecab_ipadic
D_ablation,D1,knn,1,42,5889,1472,1.2294222130003618,0.7112331810003525,f1_weighted,0.7847115446966467,neologdn,mecab_ipadic
D_ablation,D1,knn,2,42,5889,1472,1.1807730089985853,0.6718377540000802,accuracy,0.7887228260869565,neologdn,mecab_ipadic
D_ablation,D1,knn,2,42,5889,1472,1.1807730089985853,0.6718377540000802,f1_macro,0.7809062775190049,neologdn,mecab_ipadic
D_ablation,D1,knn,2,42,5889,1472,1.1807730089985853,0.6718377540000802,f1_weighted,0.785121189181181,neologdn,mecab_ipadic
D_ablation,D1,knn,3,42,5889,1472,1.1847540790004132,0.6895705410006485,accuracy,0.8002717391304348,neologdn,mecab_ipadic
D_ablation,D1,knn,3,42,5889,1472,1.1847540790004132,0.6895705410006485,f1_macro,0.7937617678752622,neologdn,mecab_ipadic
