experiment,condition,model,metric,cv_mean,cv_std,n_folds
C,c2,logistic_regression,average_precision,0.6306163687105215,0.10753786519434852,5
C,c2,logistic_regression,balanced_accuracy,0.8202797908978781,0.03495609724794148,5
C,c2,logistic_regression,f1,0.41961057660330886,0.04487407693423014,5
C,c2,logistic_regression,mcc,0.41279296639851176,0.05054743294203852,5
C,c2,logistic_regression,precision,0.28488934641519664,0.03763962933732499,5
C,c2,logistic_regression,recall,0.8041379310344828,0.06560087422764957,5
C,c2,logistic_regression,roc_auc,0.899512907274781,0.02591300191816589,5
C,c2,random_forest,accuracy,0.97,0.009354143466934863,5
C,c2,random_forest,average_precision,0.8217172928802047,0.07181287218127053,5
C,c2,random_forest,balanced_accuracy,0.8626067428149407,0.03883942774891317,5
C,c2,random_forest,f1,0.7835978835978835,0.06974675944611897,5
C,c2,random_forest,mcc,0.7694859536418109,0.07439858134404018,5
C,c2,random_forest,precision,0.8374700854700855,0.06660981577735524,5
C,c2,random_forest,recall,0.736551724137931,0.07349763599618256,5
C,c2,random_forest,roc_auc,0.935867062061597,0.01985802066035873,5
